congress_or_senate,cong_number,bill_title,aauw_yes_or_no,bill_id,Vote no.,Voteview Vote no.,legislation related to women's issues (0 or 1),other_info,vote_date,yea_votes,nay_votes,legislation purpose (bold = directly relating to women's issues)
senate,113,Minimum Wage Fairness Act (S. 2223),yes,S. 2223,Second Session Roll Call #117,,0,,,,,
senate,113,Employment Non-Discrimination Act of 2013 (S. 815),yes,S. 815,First Session Roll Call #232,,0,,,,,
senate,113,Alexander School Voucher Amendment (S. Amdt. 515 to S. Con. Res. 8),no,S. Amdt. 515 to S. Con. Res. 8,First Session Roll Call #63,,0,,,,,
congress,113,"Continuing Appropriations Act, 2014 (H.R. 2775)",yes,H.R. 2775,First Session Roll Call #550,,0,,,,,
congress,113,Concurrent Budget Resolution (H. Con. Res. 25),no,H. Con. Res. 25,First Session Roll Call #88,,0,,,,,
congress,113,Workforce Innovation and Opportunity Act (H.R. 803),yes,H.R. 803,Second Session Roll Call #378,,0,,,,,
congress,113,Working Families Flexibility Act (H.R. 1406),no,H.R. 1406,First Session Roll Call #137,,0,,,,,
congress,113,Student Success Act (H.R. 5),no,H.R. 5,First Session Roll Call #374,,0,,,,,
congress,113,Commission to Study the Potential Creation of a National Women's History Museum Act (H.R. 863),yes,H.R. 863,Second Session Roll Call #201,,0,,,,,
senate,114,Resolution of Disapproval on the Fiduciary Rule (H.J. Res. 88),no,H.J. Res. 88,Second Session Roll Call #84,,0,,,,,
senate,114,Murphy Accountability Amendment (S. Amdt. 2241 to S. 1177),yes,S. Amdt. 2241 to S. 1177,First Session Roll Call #241,,0,,,,,
senate,114,Justice for Victims of Human Trafficking Act (S. 178),yes,S. 178,First Session Roll Call #163,,0,,,,,
senate,114,Women Airforce Service Pilot Arlington Inurnment Restoration Act (H.R. 4336),yes,H.R. 4336,unanimous consent,,0,,,,,
senate,114,Democracy for All (S.J. Res. 5),yes,S.J. Res. 5,cosponsorship,,0,,,,,
congress,114,Resolution of Disapproval on the Fiduciary Rule (H.J. Res. 88),no,H.J. Res. 88,Second Session Roll Call #176,,0,,,,,
congress,114,Student Success Act (H.R. 5),no,H.R. 5,First Session Roll Call #423,,0,,,,,
congress,114,Scholarships for Opportunity and Results Reauthorization Act (H.R. 4901),no,H.R. 4901,Second Session Roll Call #179,,0,,,,,
congress,114,Justice for Victims of Human Trafficking Act (S. 178),yes,S. 178,First Session Roll Call #244,,0,,,,,
congress,114,Women Airforce Service Pilot Arlington Inurnment Restoration Act (H.R. 4336),yes,H.R. 4336,Second Session Roll Call #135,,0,,,,,
congress,114,Democracy for All (H.J. Res. 22),yes,H.J. Res. 22,cosponsorship,,0,,,,,
congress,115,American Health Care Act of 2017 (H.R. 1628),no,H.R. 1628,First Session Roll Call #256,,0,,,,,
congress,115,Tax Cuts and Jobs Act (H.R. 1),no,H.R. 1,First Session Roll Call #699,,0,,,,,
congress,115,DREAM Act of 2017 (H.R. 3440) (Cosponsorship),yes,H.R. 3440,cosponsorship,,0,,,,,
congress,116,BE HEARD in the Workplace Act (H.R. 2148),yes,H.R. 2148,Co-sponsorship,,0,,,,,
congress,116,FAMILY Act (H.R. 1185),yes,H.R. 1185,Co-sponsorship,,0,,,,,
congress,116,Raise the Wage Act (H.R. 582),yes,H.R. 582,First Session Roll Call #496,,0,,,,,
congress,116,Equality Act (H.R. 5),yes,H.R. 5,First Session Roll Call #217,,0,,,,,
congress,116,John R. Lewis Voting Rights Advancement Act (H.R. 4),yes,H.R. 4,First Session Roll Call #654,,0,,,,,
congress,116,FUTURE Act (H.R. 5363),yes,H.R. 5363,First Session Roll Call #659,,0,,,,,
senate,97,FY82 Budget Targets (First Budget Resolution),no,H.Con.Res.115,Record Vote No: 112,,1,,,,,large cuts for social programs affecting women
senate,97,Abortion Funding,no,motion to table S.Amdt.55 to H.R.3512,Record Vote No: 132,,1,,,,,restore prohibition on Medicaid funding of abortions
congress,97,FY82 Budget Targets (First Budget Resolution),no,H.Con.Res.115,Record Vote No: 37,31,1,,05/07/1981,270,154,large cuts for social programs affecting women
congress,97,Abortion Funding,no,H.Amdt.21 to H.R.3512,N/A (https://www.congress.gov/amendment/97th-congress/house-amendment/21/actions?r=21&s=a),37,1,,05/13/1981,242,155,prohibit government employee health insurance program from paying for abortions
senate,98,Human Life Federalism Amendment ,no,S.J.Res.3,Record Vote No: 173,,1,,,,,overturn Roe v Wade
senate,98,"First Budget Resolution, FY 84",no,S.Amdt.1289 to S.Con.Res.27,Record Vote No: 106,,1,,,,,reduce spending on social programs relied on by women and minorities
congress,98,Emergency Mathematics and Science Education Act of 1984,yes,H.R.1310,Record Vote No: 14,12,1,,03/02/1983,348,54,language that promotes females and minorities in STEM
congress,98,Equal Rights Amendment,yes,H.J.Res.1,Record Vote No: 504,469,1,,11/15/1983,147,278,Equal RIghts Amendment (AAUW's highest priority at the time)
congress,98,"Abortion (Labor, Health and Human Services, Education Appropriations, FY 84)",no,H.Amdt.389 to H.R.3913,Record Vote No: 352,334,1,,09/22/1983,231,184,"prevent use of federal funds on abortions, regardless of the mother's health"
senate,99,"Abortion Funding (District of Columbia Appropriations, FY86)",yes,motion to table S.Amdt.988 to H.R.3067,Record Vote No: 291,,1,,,,,
senate,99,"International Family Planning Funding (State Department Authorization, FY86)",yes,motion to table S.Amdt.290 to S.1003,Record Vote No: 121,,1,,,,,
congress,99,Pay Equity Study of Federal Work Force (HR 3008),yes,H.R. 3008,Record Vote No: 352,318,1,,10/09/1985,259,162,"to determine if differences in pay result from gender, race, etc"
congress,99,"Abortion Funding (District of Columbia Appropriations, FY86)",no,H.Amdt.392 to H.R.3067,Record Vote No: 273,247,1,,07/30/1985,221,199,
congress,99,Title X Family Planning Program (HR 2369),yes,H.R. 2369 (motion to suspend rules failed to receive 2/3 of vote),Record Vote No: 162,147,1,,06/18/1985,197,214,
congress,99,"International Family Planning Funding (State Department Authorization, FY86)",no,H.Amdt.261 to H.R.1555,Record Vote No: 216,197,1,,07/10/1985,234,189,
senate,100,CRRA Vote #2: Danforth Amendment,no,S.Amdt.1392 to S.557,Record Vote No: 9,,1,,,,,
congress,100,Civil Rights Restoration Act (S 557): Veto Override,yes,S.557,Record Vote No: 41 (veto override),527,1,,03/22/1988,292,133,insurance covers medical issues stemming from abortion
senate,101,Labor/HHS/Education Appropriations (HR 2990) Conference Report. Expanding Medicaid Funding for Abortion to Cover Cases of Rape and Incest,yes,H.R.2990,Record Vote No: 252,,1,,,,,
senate,101,International Family Planning. Smith Amendment of Fiscal 1990 Foreign Operations Appropriation Bill/UN Population Fund (HR 2939),yes,senate disagreement with house amendment to senate amendment no. 17 to HR 2939,Record Vote No: 300,,1,,,,,"funding for UNFPA only with Pres. approval, UNFPA funding used for abortions"
congress,101,Labor/HHS/Education Appropriations. Expanding Medicaid Funding for Abortion to Cover Cases of Rape and Incest (HR 2990),yes,H.R. 2990,Roll No. 277,267,1,,10/11/1989,216,206,
congress,101,DC Appropriations Bill (HR 3610) Public Funding for Abortions. Use of Local Tax Revenue Dollars to Fund Abortion for Low-Income Women in the District of Columbia,yes,H.R. 3610,Roll no. 355,345,1,,11/15/1989,229,191,
congress,101,International Family Planning. Lehman Motion on Fiscal 1990 Foreign Operations Appropriation Bill/UN Population Fund (HR 2939),yes,H.R. 2939,Roll no. 361,350,1,,11/16/1989,207,200,funding for UNFPA
senate,102,"Durenberger Amendment to Title X, Pregnancy Counseling Act of 1991 (S 323)",no,S.Amdt.754 to S.Amdt.753 to S.323,Record Vote No: 128,,1,,,,,
senate,102,"Coats Parental Notification Amendment to Title X, Pregnancy Counseling Act of 1991 (S 323)",no,S.Amdt.756 to S.Amdt.753. to S.323,Record Vote No: 131,,1,,,,,
congress,102,Civil Rights and Women's Equity in Employment Act of 1991 (HR 1),yes,H.R. 1,Roll no. 131,,1,,06/05/1991,273,158,
congress,102,International Family Planning. Kostmayer Amendment to the Fiscal 1992-93 Foreign Aid Authorization Bill/United Nations Fund for Population Assistance (HR 2508),yes,H.Amdt.121 to H.Amdt.123 to H.R.2508,Roll no. 148,,1,,06/12/1991,234,188,
congress,102,International Family Planning. Berman Amendment to the Fiscal 1992-93 Foreign Aid Authorization Bill/Mexico City Policy (HR 2508),yes,H.Amdt.124 to H.Amdt.123 to H.R.2508,Roll no. 149,,1,,06/12/1991,222,200,
congress,102,Passage of the Family Planning Amendments Act of 1991 (HR 3090),yes,H.R. 3090,Roll no. 95,,1,,04/30/1992,268,150,
congress,102,Access to Safe and Legal Abortions/AuCoin Amendment to the Department of Defense (DOD) Authorization Bill (HR 5006),yes,H.Amdt.585 to H.R.5006,Roll no. 163,,1,,06/04/1992,216,193,
senate,103,"Abortion Coverage in Federal Employees' Health Benefits Plans. Treasury, Postal, and General Government Appropriations Bill (HR 2403)",no,S.Amdt.749 to H.R.2403,Record Vote No: 235,,1,,,,,
senate,103,Elders Confirmation,yes,PN452,Record Vote No: 248,,1,,,,,
senate,103,"Funding of Abortions for Poor Women. Hyde Amendment to the Fiscal 1994 Labor, HHS, Education Appropriations Bill (HR 2518)",yes,amendment to remove H.Amdt.185 to H.R.2518,Record Vote No: 290,,1,,,,,
senate,103,Freedom of Access to Clinic Entrances Act (S 636),yes,S.636 (consideration: CR S5628),Record Vote No: 112,,1,,,,,
congress,103,The Family Planning Amendments Act of 1993 (HR 670),yes,H.R. 670,Roll no. 107,,1,,,,,
congress,103,"Funding of Abortions for Poor Women. Hyde Amendment to the Fiscal 1994 Labor, HHS, Education Appropriations Bill (HR 2518)",no,H.Amdt.185 to HR 2518,Roll no. 307,,1,,,,,
congress,103,Freedom of Access to Clinic Entrances Act (HR 796),yes,H.R.796 (consideration: CR H3123-3135),Roll no. 159,,1,,,,,
senate,104,International Family Planning. Foreign Operations Appropriations. (HR 1868),yes,H.R.1868 (consideration: CR S17067),Record Vote No: 575,,1,,,,,
senate,104,Health Exception to the Late-Term Abortion Ban (HR 1833),yes,S.Amdt.3083 to S.Amdt.3082 to H.R.1833,Record Vote No: 593,,1,,,,,
senate,104,Welfare Reform. Education and Job Training for Women (HR 4),yes,S.Amdt.2466 to S.Amdt.2280 to HR 4,Record Vote No: 403,,1,,,,,
senate,104,Access to Safe and Legal Abortion. The Department of Defense Authorization Bill (S 1745),no,S.Amdt.4059 to S.1745,Record Vote No: 163,,1,,,,,
congress,104,Restrictions on Medical Abortions. Fiscal 1996 Omnibus Appropriations (HR 3019),yes,H.Amdt.946 to H.R.3019,Roll no. 51,,1,,,,,
congress,104,Access to Safe and Legal Abortion. Late-Term Ban (HR 1833),no,H.R. 1833 (consideration: CR H2929),Roll no. 94,,1,,,,,
congress,104,"Education Funding/Access to Safe and Legal Abortion. Labor, Health. and Human Services Appropriations Bill. Final Passage. (HR 2127)",no,H.R. 2127,Roll no. 626,,1,,,,,
congress,104,Access to Safe and Legal Abortion. Amendment to the Department of Defense (DOD) Authorization Bill. (HR 1530).,yes,H.Amdt.436 to H.R.1530,Roll no. 382,,1,,,,,
senate,105,Abortion Procedure Ban (HR 1122),no,H.R.1122 (consideration: CR S10564),Record Vote No: 277,,1,,,,,
senate,105,Snowe/Murray. Amendment to the Department of Defense (DOD) Authorization Bill (S 2057),yes,S.Amdt.2794 to S.2057,Record Vote No: 176,,1,,,,,
congress,105,Mink/Morella Displaced Homemaker and Gender Equity Amendment ,yes,H.Amdt.256 to H.R.1853,Roll no. 286,,1,,,,,
congress,105,Smith Mexico City Policy Amendment to the Foreign Operations Appropriations Bill (HR 2159),no,H.Amdt.318 to H.R.2159,Roll no. 363,,1,,,,,
congress,105,Abortion Procedure Ban (HR 1122),no,H.R.1122 (consideration: CR H6212-6213),Roll no. 325,,1,,,,,
congress,105,Ban FDA from approving abortion drug RU486 -- Agriculture Appropriations Bill (HR 4101\\\\,no,H.Amdt.705 to H.R.4101,Roll no. 260,,1,,,,,
senate,106,Partial Birth Abortion Ban Act (S 1692),no,S.1692,Record Vote No: 340,,1,,,,,
senate,106,Hutchinson motion to table Murray/Snowe Amendment to the Department of Defense Authorization Bill (S 2549),no,motion to table S.Amdt.3252 to S.2549,Record Vote No: 134,,1,,,,,
senate,106,Robb Amendment to the Patients' Bill of Rights Plus Act (S 1344),yes,S.Amdt.1237 to S.Amdt.1236 to S.1344,Record Vote No: 198,,1,,,,,
congress,106,Mink/Woosley/Sanchez/Morella Amendment to the Student Results Act (HR 2),yes,H.Amdt.535 to H.R.2,Roll no. 519,,1,,,,,
congress,106,Greenwood Motion on the FY01 Foreign Operations Appropriations Bill (HR 4811) to Strike the Global Gag Rule,yes,H.Amdt.997 to H.R.4811,Roll no. 396,,1,,,,,
congress,106,Partial Birth Abortion Ban Act (HR 3660),no,H.R.3660,Roll no. 104,,1,,,,,
congress,106,Sanchez Amendment to the Department of Defense Authorization Bill (HR 4205),yes,H.Amdt.722 to H.R.4205,Roll no. 203,,1,,,,,
senate,107,Murray/Snowe Amendment to the FY03 Defense Authorization Bill,yes,S.Amdt.3927 to S.2514,Second Session Roll Call #160,,1,,,,,
congress,107,Hyde Amendment to the Foreign Relations Authorization Act,no,H.Amdt.34 to HR 1646,First Session Roll Call #115,,1,,,,,
congress,107,Sanchez Amendment to the FY03 National Defense Authorization Act,yes,H.Amdt.478 to HR 4546,Second Session Roll Call #153,,1,,,,,
congress,107,Child Custody Protection Act,no,HR 476,Second Session Roll Call #97,,1,,,,,
congress,107,”Partial-Birth” Abortion Ban Act,no,HR 4965,Second Session Roll Call #343,,1,,,,,
senate,108,Resolution Reaffirming Roe v. Wade,yes,during debate of S. 3/H.R. 760,First Session Roll Call #48,,1,,,,,
senate,108,Lugar Amendment to Table Boxer Amendment No. 1141,no,would have tabled Boxer Amendment No. 1141 to the annual state department appropriations bill,First Session Roll Call # 267,,1,,,,,
senate,108,Murray Amendment to the Unborn Victims of Violence Act,yes,S. Amdt. 2859 to H.R. 1997,Second Session Roll Call #62,,1,,,,,
congress,108,Smith Amendment to the Foreign Relations Authorization Act,no,Smith Amendment to H.R.1950,First Session Roll Call #362,,1,,,,,
congress,108,Lofgren Substitute Amendment to the Unborn Victims of Violence Act (UVVA),no,H.Amdt.465 to H.R.1997,Second Session Roll Call #30,,1,,,,,
congress,108,Davis Amendment to the FY05 National Defense Authorization Act,yes,H.Amdt.533 to H.R.4200,Second Session Roll Call #197,,1,,,,,
senate,109,Clinic Violence Amendment,yes,S. Amdt. 47 to S. 256,First Session Roll Call #28,,1,,,,,make clinic violence-related debts nondischargeable under bankruptcy proceedings
congress,109,Servicewomen’s Health Amendment,yes,H. Amdt. 209 to H.R. 1815,First Session Roll Call #216,,1,,,,,allow military personnel and their dependents overseas to use personal funds to obtain abortion services in overseas military hospitals
senate,110,Cloture Motion on the Lilly Ledbetter Fair Pay Act of 2007,yes,H.R. 2831,Second Session Roll Call #110,,1,,,,,
senate,110,Cloture Motion on the Fair Minimum Wage Act of 2007,yes,H.R. 2,First Session Roll Call #23,,1,,,,,
senate,110,Boxer Amendment,yes,S. Amdt. 2719 to H.R. 2764,First Session Roll Call #319,,1,,,,,
congress,110,The Lilly Ledbetter Fair Pay Act of 2007 (H.R. 2831),yes,H.R. 2831,First Session Roll Call #768,,1,,,,,
congress,110,The Paycheck Fairness Act (H.R. 1338),yes,H.R. 1338,Second Session Roll Call #556,,1,,,,,
congress,110,Pence Amendment (H. Amdt. 594 to H.R. 3043),no,H. Amdt. 594 to H.R. 3043,First Session Roll Call #684,,1,,,,,
senate,111,Lilly Ledbetter Fair Pay Act of 2009 (S. 181),yes,S. 181,First Session Roll Call #14,,1,,,,,
senate,111,Paycheck Fairness Act S. 182,yes,S. 182,cosponsorship,,1,,,,,
senate,111,Nelson Amendment (S. Amdt. 2962 to H.R. 3590),no,S. Amdt. 2962 to H.R. 3590,First Session Roll Call #369,,1,,,,,
senate,111,Wicker Amendment,no,S. Amdt. 607 to H.R. 1105,First Session Roll Call #81,,1,,,,,
congress,111,Lilly Ledbetter Fair Pay Act of 2009 (H.R. 11),yes,H.R. 11,First Session Roll Call #9,,1,,,,,
congress,111,Paycheck Fairness Act (H.R. 12),yes,H.R. 12,First Session Roll Call #8,,1,,,,,
congress,111,Stupak Amendment (H. Amdt. 509 to H.R. 3962),no,H. Amdt. 509 to H.R. 3962,First Session Roll Call #884,,1,,,,,
senate,112,High School Data Transparency Act of 2011 (S. 1269) Co-Sponsorship,yes,S. 1269,cosponsorship,,1,,,,,
senate,112,Paycheck Fairness Act (S. 3220) ,yes,S. 3220,Second Session Roll Call #115,,1,,,,,
senate,112,Violence Against Women Reauthorization Act of 2011 (S. 1925),yes,S. 1925,Second Session Roll Call #87,,1,,,,,
senate,112,Planned Parenthood Funding (H. Con. Res. 36),no,H. Con. Res. 36,First Session Roll Call #60,,1,,,,,
senate,112,motion to table Contraception Coverage Ban (S. Amdt. 1520 to S. 1813),no,motion to table S. Amdt. 1520 to S. 1813,Second Session Roll Call #24,,1,,,,,
congress,112,High School Athletics Accountability Act of 2011 (H.R. 458) Co-Sponsorship,yes,H.R. 458,cosponsorship,,1,,,,,
congress,112,Campus Sexual Violence Elimination (SaVE) Act (H.R. 2016) Co-sponsorship,yes,H.R. 2016,cosponsorship,,1,,,,,
congress,112,Paycheck Fairness Act (H.R. 1519),no,procedural motion to decline to consider H.R. 1519,Second Session Roll Call #297,,1,,,,,
congress,112,Violence Against Women Reauthorization Act of 2012 (H.R. 4970),no,H.R. 4970,Second Session Roll Call #258,,1,,,,,
congress,112,Pence Amendment (H. Amdt. 95 to H.R. 1),no,H. Amdt. 95 to H.R. 1,First Session Roll Call #93,,1,,,,,
congress,112,Respect for Rights of Conscience Act (H.R. 1179) Co-sponsorship,no,H.R. 1179,cosponsorship,,1,,,,,
senate,113,Paycheck Fairness Act (S. 84),yes,S. 84,Second Session Roll Call #103,,1,,,,,
senate,113,Violence Against Women Reauthorization Act of 2013 (S. 47),yes,S. 47,First Session Roll Call #19,,1,,,,,
senate,113,Protect Women's Health from Corporate Interference Act of 2014 (S. 2578),yes,S. 2578,Second Session Roll Call #228,,1,,,,,
senate,113,High School Data Transparency Act (S. 217) Co-sponsorship,yes,S. 217,cosponsorship,,1,,,,,
congress,113,procedural motion to decline to consider the Paycheck Fairness Act (H.R. 377),no,procedural motion to decline to consider H.R. 377,First Session Roll Call #97,,1,,,,,
congress,113,Violence Against Women Reauthorization Act (S. 47),yes,S. 47,First Session Roll Call #55,,1,,,,,
congress,113,High School Data Transparency Act (H.R. 455) Co-sponsorship,yes,H.R. 455,cosponsorship,,1,,,,,
senate,114,Paycheck Fairness Act (S. 862),yes,S. 862,cosponsorship,,1,,,,,
senate,114,Survivor Outreach and Support (SOS) Campus Act (S. 706),yes,S. 706,cosponsorship,,1,,,,,
senate,114,Bill to Prohibit Federal Funding of Planned Parenthood (S. 1881),no,S. 1881,First Session Roll Call #262,,1,,,,,
congress,114,Paycheck Fairness Act (H.R. 1619),yes,H.R. 1619,cosponsorship,,1,,,,,
congress,114,Hold Accountable and Lend Transparency on Campus Sexual Violence Act (H.R. 2680),yes,H.R. 2680,cosponsorship,,1,,,,,
congress,114,Defund Planned Parenthood Act of 2015 (H.R. 3134),no,H.R. 3134,First Session Roll Call. #505,,1,,,,,
congress,115,Paycheck Fairness Act (H.R. 1869) (Cosponsorship),yes,H.R. 1869,cosponsorship,,1,,,,,
congress,115,"DeLauro/Frankel/Scott Amendment to the FY18 Commerce, Justice, Science Appropriations Bill (EEO-1) (H.Amdt. 383 to H.R. 3354)",yes,H.Amdt. 383 to H.R. 3354,First Session Roll Call #495,,1,,,,,
congress,115,Resolution on Compliance with Title X Family Planning Requirements (H.J. Res. 43),no,H.J. Res. 43,First Session Roll Call #99,,1,,,,,
congress,116,Paycheck Fairness Act (H.R. 7),yes,H.R. 7,First Session Roll Call #134,,1,,,,,
senate,105,Affirmative Action for Small Business (McConnell Amendment),no,S.Amdt.1708 to S.Amdt.1676 to S.1173,N/A (see row above),,,,,,,
